outer_heldout_perturbation_ids	selected_source_neighborhood_fraction	selected_delta_score_weight	inner_mean_condition_recall_at_1	inner_mean_perturbation_recall_at_1
1,2,3	0.3333333333333333	1.0	0.5111111111111111	0.5666666666666667
1,2,4	0.3333333333333333	1.0	0.6111111111111112	0.6722222222222223
1,2,5	0.3333333333333333	0.65	0.5333333333333334	0.5722222222222222
1,2,6	0.3333333333333333	0.5	0.5444444444444445	0.6111111111111112
1,2,7	0.3333333333333333	0.8	0.5111111111111111	0.55
1,2,8	0.3333333333333333	0.65	0.5444444444444445	0.5777777777777777
1,3,4	0.3333333333333333	0.5	0.5555555555555556	0.6055555555555555
1,3,5	0.3333333333333333	0.5	0.5055555555555555	0.5555555555555556
1,3,6	0.3333333333333333	0.65	0.5	0.5722222222222222
1,3,7	0.3333333333333333	0.8	0.5222222222222223	0.5722222222222222
1,3,8	0.3333333333333333	1.0	0.5	0.55
1,4,5	0.3333333333333333	1.0	0.5444444444444445	0.6222222222222222
1,4,6	0.3333333333333333	0.65	0.5555555555555556	0.6222222222222222
1,4,7	0.3333333333333333	1.0	0.5944444444444444	0.65
1,4,8	0.3333333333333333	0.2	0.6111111111111112	0.638888888888889
1,5,6	0.3333333333333333	0.5	0.49444444444444446	0.5444444444444445
1,5,7	0.3333333333333333	0.8	0.5333333333333334	0.5722222222222222
1,5,8	0.3333333333333333	0.35	0.5166666666666667	0.55
1,6,7	0.3333333333333333	1.0	0.538888888888889	0.5611111111111111
1,6,8	0.3333333333333333	1.0	0.5111111111111112	0.5777777777777777
1,7,8	0.3333333333333333	0.5	0.538888888888889	0.55
2,3,4	0.3333333333333333	0.8	0.6333333333333334	0.6555555555555556
2,3,5	0.3333333333333333	0.65	0.5055555555555555	0.5611111111111111
2,3,6	0.3333333333333333	1.0	0.5111111111111111	0.5722222222222222
2,3,7	0.3333333333333333	1.0	0.5222222222222223	0.5722222222222222
2,3,8	0.3333333333333333	0.8	0.5666666666666667	0.6166666666666667
2,4,5	0.3333333333333333	0.35	0.5777777777777777	0.6111111111111112
2,4,6	0.3333333333333333	0.65	0.5777777777777777	0.6222222222222222
2,4,7	0.3333333333333333	1.0	0.6111111111111112	0.6555555555555556
2,4,8	0.3333333333333333	1.0	0.5888888888888889	0.6166666666666667
2,5,6	0.3333333333333333	0.65	0.538888888888889	0.5944444444444444
2,5,7	0.3333333333333333	0.8	0.5055555555555555	0.5555555555555556
2,5,8	0.3333333333333333	1.0	0.5111111111111111	0.5666666666666667
2,6,7	0.3333333333333333	1.0	0.538888888888889	0.5888888888888889
2,6,8	0.3333333333333333	0.65	0.5166666666666667	0.5666666666666667
2,7,8	0.3333333333333333	0.5	0.5166666666666667	0.5555555555555556
3,4,5	0.3333333333333333	0.5	0.5444444444444445	0.5777777777777777
3,4,6	0.3333333333333333	0.8	0.5555555555555556	0.611111111111111
3,4,7	0.3333333333333333	1.0	0.5166666666666667	0.5777777777777777
3,4,8	0.3333333333333333	1.0	0.5888888888888889	0.6222222222222222
3,5,6	0.3333333333333333	1.0	0.5111111111111112	0.5944444444444444
3,5,7	0.3333333333333333	1.0	0.5	0.5611111111111111
3,5,8	0.3333333333333333	1.0	0.5055555555555555	0.5555555555555556
3,6,7	0.3333333333333333	0.65	0.5444444444444445	0.6
3,6,8	0.3333333333333333	0.2	0.5055555555555555	0.5833333333333333
3,7,8	0.3333333333333333	0.2	0.5277777777777778	0.5777777777777777
4,5,6	0.3333333333333333	0.65	0.55	0.638888888888889
4,5,7	0.3333333333333333	1.0	0.5777777777777778	0.6611111111111111
4,5,8	0.3333333333333333	0.05	0.55	0.5833333333333334
4,6,7	0.3333333333333333	1.0	0.5722222222222222	0.65
4,6,8	0.3333333333333333	0.8	0.5666666666666667	0.6333333333333333
4,7,8	0.3333333333333333	0.35	0.6055555555555555	0.6444444444444445
5,6,7	0.3333333333333333	0.8	0.5166666666666667	0.5777777777777777
5,6,8	0.3333333333333333	0.65	0.48888888888888893	0.5611111111111111
5,7,8	0.3333333333333333	1.0	0.55	0.5777777777777777
6,7,8	0.3333333333333333	0.8	0.538888888888889	0.5888888888888889
